Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private,Recurring
Mind Body Studio: Yoga,04/01/2018,12:30:00 PM,04/01/2018,1:30:00 PM,False,Yoga:Darin P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yin Restore,04/01/2018,2:00:00 PM,04/01/2018,3:00:00 PM,False,Yin Restore:Darin P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga Basics,04/01/2018,3:30:00 PM,04/01/2018,4:30:00 PM,False,Yoga Basics:Miriam H.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/01/2018,4:45:00 PM,04/01/2018,5:45:00 PM,False,Yoga:Miriam H.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/02/2018,6:15:00 AM,04/02/2018,7:00:00 AM,False,Yoga:Robin H.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga Basics,04/02/2018,10:15:00 AM,04/02/2018,11:00:00 AM,False,Yoga Basics:Laurel P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/02/2018,11:15:00 AM,04/02/2018,12:00:00 PM,False,Yoga:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Barefoot Power,04/02/2018,12:15:00 PM,04/02/2018,1:00:00 PM,False,Barefoot Power:Robin H.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Chair Yoga,04/02/2018,1:30:00 PM,04/02/2018,2:15:00 PM,False,Chair Yoga:Darin P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Pilates Core,04/02/2018,2:30:00 PM,04/02/2018,3:15:00 PM,False,Pilates Core:Marcy A.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yin Restore,04/02/2018,3:30:00 PM,04/02/2018,4:15:00 PM,False,Yin Restore:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/02/2018,4:30:00 PM,04/02/2018,5:15:00 PM,False,Yoga:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/02/2018,5:30:00 PM,04/02/2018,6:15:00 PM,False,Yoga:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: AT Mind in Motion,04/02/2018,6:30:00 PM,04/02/2018,7:15:00 PM,False,AT Mind in Motion:Laurel P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga Basics,04/02/2018,7:30:00 PM,04/02/2018,8:15:00 PM,False,Yoga Basics:Lori C.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/03/2018,5:15:00 AM,04/03/2018,6:00:00 AM,False,Yoga:Amy S:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Pilates Core,04/03/2018,6:15:00 AM,04/03/2018,7:00:00 AM,False,Pilates Core:Trisha G.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yin Restore,04/03/2018,9:00:00 AM,04/03/2018,10:00:00 AM,False,Yin Restore:Darin P:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Pilates Core,04/03/2018,10:15:00 AM,04/03/2018,11:00:00 AM,False,Pilates Core:Marcy A.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/03/2018,11:15:00 AM,04/03/2018,12:00:00 PM,False,Yoga:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/03/2018,11:15:00 AM,04/03/2018,12:00:00 PM,False,Yoga:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/03/2018,12:15:00 PM,04/03/2018,1:00:00 PM,False,Yoga:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
